cik_date,GrossProfit,GrossMargin,WorkingCapitalRatio,EarningPerShare,DebtToEquityRatio,PEratio,ReturnOfEquity,EBIDTAratio,EvRatio,EVbyEbidta,ChurnRate,GrowthRate,ProfitMargin,RuleOf40,MarketCap,MagicNumber,wce_label,eps_label,de_label,pe_label,roe_label,growth_rate_label,profitm_label,grossm_label,ro40_label,churnrate_label,EVbyEbidta_label,marketCap_label,magicNum_label
1459417_2019,,,1.673236980135168,-0.33906405704066106,0.13024614595712802,-70.75359213649438,-1.800098381548365,,,,-0.0,-0.0,-0.0,-0.0,1525022924.9099998,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0,
1459417_2020,,,2.548277154978114,-2.9879841998072063,0.1441593271848092,-13.390298383298534,-13.147541501323353,,,,9.043796975039436,904.3796975039436,904.3796975039436,1808.7593950078872,2898785355.21,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,0.0,,1.0,
1459417_2021,,,1.1809407298797328,-2.5710100512228533,0.19215350293957,-7.806270531869012,-11.221644269394133,,,,-0.10032150181999594,-10.032150181999594,-10.032150181999594,-20.064300363999187,1520396086.41,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0,
1023731_2019,245394000.0,0.6959833912860975,5.319469914998996,0.12199348380430905,0.14736196343221902,165.58261449769742,2.3130531868097184,-90988000.0,,,0.0,0.0,0.0,0.0,1941621737.6,0.10939249197701321,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0
1023731_2020,301224000.0,0.6750314294870214,2.245590439538181,-1.6705786366344244,0.19733034466660485,-8.296526542397661,-27.557980027946805,-159819000.0,,,-15.69964182159304,-1569.964182159304,-1569.964182159304,-3139.928364318608,1430055687.06,-1.6080304500335847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0
1023731_2021,352262000.0,0.6617187382594714,2.2782794246074247,-1.5172528930751106,0.160628762524102,-19.159627332185888,-21.913125642664593,-146149000.0,,,-0.03935185185185185,-3.935185185185185,-3.935185185185185,-7.87037037037037,3172546891.8,-1.1418631433043933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,0.0
1580808_2020,175379000.0,0.7776408146252999,2.248125811838931,0.23335865664212926,0.2532817589193813,42.25255725190839,4.186739484976524,67881000.0,,,0.0,0.0,0.0,0.0,752771560.0,0.3552684055196618,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0
1580808_2021,196537000.0,0.7860159493205141,2.446646853598656,1.2255660462653217,0.260259845079422,13.528442673917395,21.273442667055274,86893000.0,,,4.325942972608891,432.59429726088905,432.59429726088905,865.1885945217781,1283673339.9999998,1.8921392677674085,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0
935036_2019,,,1.504005229185391,0.5781887165483056,0.5415640088922872,65.52358929826131,5.934858332271356,,,,0.0,0.0,0.0,0.0,4394142945.5199995,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,1.0,
935036_2020,,,1.2752955206740246,0.6204307433936102,0.7505447137693861,61.940837731213875,6.021894634248221,,,,0.08347499328979154,8.347499328979154,8.347499328979154,16.69499865795831,4500621269.55,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,1.0,
935036_2021,,,1.2430256379656701,1.1042162724103644,0.6058555066489821,31.425003296006764,10.26617619059478,,,,0.7587530966143683,75.87530966143683,75.87530966143683,151.75061932287366,4015832596.2000003,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,,1.0,
796343_2019,,,0.7929403201440421,6.119053197025329,0.5523757462119389,50.5846231489657,19.903872000535184,,163362848670.0,,0.0,0.0,0.0,0.0,149298390670.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,,1.0,
796343_2020,,,1.477866473149492,10.981210855949895,0.2810667482535312,43.44056463878327,26.82168170924481,,247747370000.0,,0.7821700325737314,78.21700325737314,78.21700325737314,156.43400651474627,228497370000.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,
796343_2021,,,1.2505770340450086,10.15157894736842,0.2899811754862999,60.73242430526752,20.171512235933907,,317035750000.0,,-0.08326996197718631,-8.32699619771863,-8.32699619771863,-16.65399239543726,292851750000.0,23.521951219512196,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,,1.0,1.0
78749_2019,74035000.0,0.5250820939452613,1.3551740107373802,-0.5601417766323608,0.5794060940947308,-37.794003024156794,-13.082626065870286,54036000.0,,,-0.0,-0.0,-0.0,-0.0,497520255.81000006,-0.1965891102416296,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0
78749_2020,80952000.0,0.5035674962832101,1.3454906875243076,-1.442942340164709,0.9674735565868138,-11.573574033522176,-47.47550761598171,,,,1.5878912184746277,158.78912184746275,158.78912184746275,317.5782436949255,394276946.59999996,-0.5087512320420537,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0
78749_2021,89376000.0,0.6515425438852277,2.184390419829183,-0.9832272050737989,0.7636962291551905,-48.7781458370044,-29.55581150783715,,,,-0.3070126515396131,-30.70126515396131,-30.70126515396131,-61.40253030792262,1151554466.92,-0.2958210638431176,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0
