CompanyName,CIK
PAYCHEX INC,723531
PAYCOM SOFTWARE INC,1590955
PAYLOCITY HOLDING CORP,1591698
PEGASYSTEMS INC,1013857
PHUNWARE INC,1603498
PING IDENTITY HOLDING CORP,1679826
PLURALSIGHT INC,1725579
PRIMAL SOLUTIONS INC,1124217
PROGRESS SOFTWARE CORP,876167
PROOFPOINT INC,1212458
PROS HOLDINGS INC,1392972
PTC INC,857005
PULSE EVOLUTION CORP,1583138
Q2 HOLDINGS INC,1410384
QAD INC,1036188
QUALYS INC,1107843
QUANTGATE SYSTEMS INC,
QUMU CORP,892482
RAADR INC,1384365
RAND WORLDWIDE INC,852437
RAPID7 INC,1560327
REALNETWORKS INC,1046327
REALPAGE INC,1286225
RIGHTSCORP INC,1506270
RINGCENTRAL INC,1384905
RIOT BLOCKCHAIN INC,1167419
ROCKETFUEL BLOCKCHAIN INC,823546
RORINE INTL HOLDING CORP,1423586
ROSETTA STONE INC,1351285
SAILPOINT TECHNO HLDG,1627857
SALESFORCE.COM INC,1108524
SCIENT INC,1158019
SEACHANGE INTERNATIONAL INC,1019671
SECUREWORKS CORP,1468666
SERVICENOW INC,1373715
SHARPSPRING INC,1506439
SHOTSPOTTER INC,1351636
SIMTROL INC,846775
SITO MOBILE LTD,1157817
SKYBOX INTL INC,909687
SLACK TECHNOLOGIES INC,1764925
SMARTMETRIC INC,1301991
SMARTSHEET INC,1366561
SMITH MICRO SOFTWARE INC,948708
SNOWFLAKE INC,1640147
SOFTECH INC,354260
SOLARWINDS CORP,1739942
SONIC FOUNDRY INC,1029744
SPLUNK INC,1353283
SPROUT SOCIAL INC,1517375
SPS COMMERCE INC,1092699
SS&C TECHNOLOGIES HLDGS INC,1402436
SSI INVESTMENTS II LTD,1501919
SUMO LOGIC INC,1643269
SVMK INC,1739936
SYNACOR INC,1210634
SYNCHRONOSS TECHNOLOGIES,1131554
SYNOPSYS INC,883241
TAUTACHROME INC,1389067
TELENAV INC,1353536
TENABLE HOLDINGS INC,1660280
TERADATA CORP,816761
THEGLOBE.COM INC,1066684
TIBCO SOFTWARE INC,1085280
TINTRI INC,1554875
TMM INC,939652
TRADE DESK INC,1671933
TWILIO INC,1447669
TYLER TECHNOLOGIES INC,860731
ULTIMATE SOFTWARE GROUP INC,1016125
UNITRONIX CORP,835270
UNITY SOFTWARE INC,1810806
UPLAND SOFTWARE INC,1505155
VANCORD CAPITAL INC,
VARONIS SYSTEMS INC,1361113
VDO-PH INTERNATIONAL INC,1499355
VEEVA SYSTEMS INC,1393052
VERB TECHNOLOGY CO INC,1566610
VERINT SYSTEMS INC,1166388
VERITONE INC,1615165
VERTEX INC,1806837
VERTICAL COMPUTER SYS INC,1099509
VIRNETX HOLDING CORP,1082324
VIVA ENTERTAINMENT GROUP INC,1479000
VMWARE INC -CL A,1124610
VOYAGER DIGITAL LTD,1827032
VUBOTICS INC,1100981
WOD RETAIL SOLUTIONS,704366
WORKDAY INC,1327811
WORKIVA INC,1445305
XCELMOBILITY INC,1465509
XPERI HOLDING CORP,1803696
YAPPN CORP,1511735
YEXT INC,1614178
ZENDESK INC,1463172
ZIX CORP,855612
ZOOM TELEPHONICS INC,822708
ZOOM VIDEO COMUNICATIONS INC,1585521
ZOOMAWAY TRAVEL INC,1541054
ZOOMINFO TECHNOLOGIES,1794515
ZSCALER INC,1713683
ZUORA INC,1423774
